Product_ID,Name,Category,Price,Material,Eco_Certifications,Sustainability_Score,Avg_Rating,Carbon_Footprint (kg CO2),Biodegradability (%),Water_Usage (L),Energy_Consumption (kWh),Supply_Chain_Transparency,Image_URL
P024,Glass Food Containers (P024),Kitchen,77.77,Tempered Glass,USDA Organic,9.2,3.9,4.39,62,65.3,2.38,High,https://th.bing.com/th/id/OIP.q66Djf2GmtaNEVxxU98BAwHaHa?w=203&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
P025,Reusable Mop (P025),Home Care,53.59,Recycled Plastic & Cotton,EcoLabel,7.9,4.9,5.12,84,99.6,3.52,High,https://th.bing.com/th/id/OIP.IA3gNV9rKvEM0rRNGZiSegHaHa?w=196&h=196&c=7&r=0&o=5&dpr=1.3&pid=1.7
P026,Khadi Shirt (P026),Clothing,62.72,Khadi Fabric,EcoLabel,9.9,4,3.85,97,160.4,2.28,Medium,https://th.bing.com/th/id/OIP.nm64SvLmYzI-RpBZ9prNdgHaJ4?w=208&h=277&c=7&r=0&o=5&dpr=1.3&pid=1.7
P027,Compostable Trash Bags (P027),Home Care,42.32,Cornstarch Bioplastic,Green Seal,7.4,3.7,3.49,86,55.8,3.23,Medium,https://th.bing.com/th/id/OIP.hGHoJwZpOXTBuU0ptue4aAAAAA?w=180&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P028,Reusable Straws (P028),Kitchen,11.1,Stainless Steel,EcoLabel,8.3,3.8,2.84,73,53,1.69,High,https://th.bing.com/th/id/OIP.yzqt5tYArtSbMumLmwPFzgHaHa?w=185&h=185&c=7&r=0&o=5&dpr=1.3&pid=1.7
P029,Bamboo Hairbrush (P029),Personal Care,18.22,Bamboo & Natural Rubber,USDA Organic,9.5,4.2,2.25,90,74.7,1.45,High,https://th.bing.com/th/id/OIP.gvbLB4N7hG33hY1idG1kHwHaHa?w=186&h=186&c=7&r=0&o=5&dpr=1.3&pid=1.7
P030,Recycled Paper Sketchbook (P030),Stationery,23.79,Recycled Paper,EcoLabel,8.8,4.7,3.98,95,27.4,0.85,High,https://th.bing.com/th/id/OIP._7J6cs2WdwmivInuAYM4XwHaFc?w=248&h=183&c=7&r=0&o=5&dpr=1.3&pid=1.7
P031,Seedling Tray (P031),Gardening,18.78,Biodegradable Plastic,FSC,8,4.3,2.73,90,71.8,0.68,High,https://th.bing.com/th/id/OIP.8Pih-yKlKO6pwyOC-_pV5AHaE8?w=290&h=193&c=7&r=0&o=5&dpr=1.3&pid=1.7
P032,Organic Fertilizer (P032),Gardening,11.72,Plant-Based Fertilizer,FSC,8.3,4.6,3.24,96,57.3,1.63,High,https://th.bing.com/th/id/OIP.wK3mfHC_zbLqMkAJxS1FtgHaHa?w=174&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P033,Soy Ink Pens (P033),Stationery,12.82,Recycled Plastic & Soy Ink,EcoLabel,8.6,3.9,1.47,90,48.8,0.7,High,https://th.bing.com/th/id/OIP.ZCbxzaktcCqAX9XHKbGIqAHaHa?w=194&h=194&c=7&r=0&o=5&dpr=1.3&pid=1.7
P034,Handy Travel Pouch (P034),Travel,79.69,Hemp Fabric,Fair Trade,7.8,3.6,9.14,57,70.8,2.98,Medium,https://th.bing.com/th/id/OIP.WxuUuFnzTcGwqrOvMIM57gHaHa?w=198&h=198&c=7&r=0&o=5&dpr=1.3&pid=1.7
P035,Plant-Based Shampoo Bar (P035),Personal Care,21.7,Coconut Oil & Essential Oils,USDA Organic,9.7,4.6,1.92,98,87.8,1.31,High,https://th.bing.com/th/id/OIP.XqBbEKlpaPV0-B0wz7bh8QHaHa?w=199&h=199&c=7&r=0&o=5&dpr=1.3&pid=1.7
P036,Seedling Tray (P036),Gardening,36.3,Biodegradable Plastic,FSC,9.2,3.5,3.6,91,42.5,1.35,High,https://th.bing.com/th/id/OIP.i55YVM0whWZj-6-pFNnTRgHaHa?w=188&h=188&c=7&r=0&o=5&dpr=1.3&pid=1.7
P037,Bamboo Cutting Board (P037),Kitchen,66.63,Bamboo,EcoLabel,9.1,4.3,4.53,79,66.6,2.61,High,https://th.bing.com/th/id/OIP.kgrW7BFBFM5hYQRh-qdsnAHaHa?w=203&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
P038,Hot Wheels Set (P038),Toys,35.91,Recycled Plastic,EcoLabel,8.4,4.9,5.96,81,62.3,1.82,High,https://th.bing.com/th/id/OIP.1mBLwh65mJzX0xA1XAPelQHaHa?w=191&h=191&c=7&r=0&o=5&dpr=1.3&pid=1.7
P039,Handkerchiefs (P039),Clothing,33.43,Hemp Fabric,EcoLabel,8.2,3.8,4.18,89,93.2,1.22,Medium,https://th.bing.com/th/id/OIP.aEjvEfNgoncswKJWvV8KIwHaFj?w=252&h=189&c=7&r=0&o=5&dpr=1.3&pid=1.7
P040,Compostable Trash Bags (P040),Home Care,59.66,Cornstarch Bioplastic,Green Seal,7.4,4.6,6.63,91,138.3,3.6,High,https://th.bing.com/th/id/OIP.SmvhglwbK8a4ItJY_QxbAgHaHa?w=195&h=195&c=7&r=0&o=5&dpr=1.3&pid=1.7
P041,Bamboo Hairbrush (P041),Personal Care,9.46,Bamboo & Natural Rubber,Fair Trade,8.6,4.4,3.9,94,71,1.94,High,https://th.bing.com/th/id/OIP.TNswZi9gv9fgYd_aZxwwXgAAAA?w=206&h=205&c=7&r=0&o=5&dpr=1.3&pid=1.7
P042,Bamboo Cutting Board (P042),Kitchen,19.74,Bamboo,USDA Organic,9.6,4.5,4.23,81,43.5,3.1,High,https://th.bing.com/th/id/OIP.V93QJlkTGUhx0b8ok0DyxAHaEy?w=284&h=184&c=7&r=0&o=5&dpr=1.3&pid=1.7
P043,Solar-Powered Charger (P043),Electronics,114.72,Recycled Plastic & Solar Panels,Carbon Neutral,8,4.7,13.83,28,43.1,17.65,Medium,https://th.bing.com/th/id/OIP.4hAsMZaMybgonddSUzHuygHaHa?w=196&h=195&c=7&r=0&o=5&dpr=1.3&pid=1.7
P044,Bamboo Hairbrush (P044),Personal Care,10.64,Bamboo & Natural Rubber,USDA Organic,10,4.6,1.15,96,69.2,0.69,High,https://th.bing.com/th/id/OIP.Yx03F3xIZKznlomNpXAr2AHaFu?w=259&h=200&c=7&r=0&o=5&dpr=1.3&pid=1.7
P045,Bamboo Cutting Board (P045),Kitchen,54.01,Bamboo,USDA Organic,9.3,3.9,5.3,76,80.9,2.2,High,https://th.bing.com/th/id/OIP.rJrwzdNhtfvMauDPTNuBxAHaHa?w=179&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P046,Biodegradable Planter (P046),Gardening,11.98,Compostable Material,EcoLabel,9.6,4.6,1.87,100,59.9,1.97,High,https://th.bing.com/th/id/OIP.hRKc6lqKDzxDox1Uhzt3QQHaHa?w=174&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P047,Bamboo Pen Set (P047),Office Supplies,20.61,Bamboo & Recycled Metal,EcoLabel,8.8,4.8,3.8,100,18,2.23,High,https://th.bing.com/th/id/OIP.gBfb2Gsbp5p63x7rdulVlAHaHa?w=215&h=215&c=7&r=0&o=5&dpr=1.3&pid=1.7
P048,Organic Soap Bar (P048),Personal Care,14.83,Shea Butter & Essential Oils,USDA Organic,9.4,4.1,2.72,98,87.7,0.66,High,https://th.bing.com/th/id/OIP.8oOoxyER-cH31JW284xP7AHaE7?w=260&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P049,Biodegradable Toothbrush (P049),Personal Care,20.47,Bamboo & Plant-Based Bristles,USDA Organic,9.8,4,3.73,100,73.1,1.99,High,https://th.bing.com/th/id/OIP.NCQpXZDzwGxoUVW0IkkUywHaHa?w=197&h=197&c=7&r=0&o=5&dpr=1.3&pid=1.7
P050,Eco-Friendly Highlighters (P050),Stationery,22.46,Plant-Based Plastic,FSC,8.8,4.8,2.07,90,33.5,0.62,High,https://th.bing.com/th/id/OIP.5gLcG2uffzzbETcEgz5-DAHaHa?w=208&h=208&c=7&r=0&o=5&dpr=1.3&pid=1.7
P051,Organic Soap Bar (P051),Personal Care,18.51,Shea Butter & Essential Oils,Fair Trade,9.3,4.1,2.17,95,44.1,1.09,High,https://th.bing.com/th/id/OIP.YojmlV6AOldzx0xeteveoAHaGg?w=216&h=190&c=7&r=0&o=5&dpr=1.3&pid=1.7
P052,Biodegradable Eraser (P052),Stationery,12.48,Natural Rubber,FSC,8.6,4.7,3.72,86,13.8,0.63,High,https://th.bing.com/th/id/OIP.RGOwKxVchpJF-WJTGL2orQHaE7?w=273&h=182&c=7&r=0&o=5&dpr=1.3&pid=1.7
P053,Bamboo Cutting Board (P053),Kitchen,73.57,Bamboo,EcoLabel,9.1,4.9,5.82,75,67.5,3.95,High,https://th.bing.com/th/id/OIP.X0uHv83wl3CyXR109kH0vwHaHa?w=179&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P054,Wooden Racing Car (P054),Toys,49.14,Solid Wood,EcoLabel,9.6,4,2.4,98,52.4,1.2,High,https://th.bing.com/th/id/OIP.eP69-FBzVjf3tI01p8PJlgHaFy?w=211&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P055,Khadi Shirt (P055),Clothing,49.32,Khadi Fabric,EcoLabel,9.1,4.1,2.14,88,128.9,1.34,High,https://th.bing.com/th/id/OIP.U41QgZXBkOYOxIi8Q1CElQHaLG?w=204&h=306&c=7&r=0&o=5&dpr=1.3&pid=1.7
P056,Organic Soap Bar (P056),Personal Care,6.58,Shea Butter & Essential Oils,Fair Trade,9.1,4.8,1.89,99,30.8,0.97,High,https://th.bing.com/th/id/OIP.Ik2ON_tdvUXFv1iJnzouGAHaFA?w=253&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P057,Glass Food Containers (P057),Kitchen,27.64,Tempered Glass,EcoLabel,8.6,3.7,3.41,63,52,3.32,High,https://th.bing.com/th/id/OIP.feK5Mzj9efh8u1qAtOv_eAHaHa?w=203&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
P058,Handy Travel Pouch (P058),Travel,37.81,Hemp Fabric,Carbon Neutral,8.4,4,8.85,76,79,5.46,Medium,https://th.bing.com/th/id/OIP.Mx-6lf0DuxmepwHfnmYqwAAAAA?w=192&h=191&c=7&r=0&o=5&dpr=1.3&pid=1.7
P059,Pillow Cases (P059),Clothing,95.01,Organic Cotton,GOTS,9.8,3.7,2.92,96,186,1.9,High,https://th.bing.com/th/id/OIP.eqJfSGeVV-TNAltJ5aeZXAHaHa?w=208&h=209&c=7&r=0&o=5&dpr=1.3&pid=1.7
P060,Bamboo Bluetooth Speaker (P060),Electronics,112.8,Bamboo & Recycled Electronics,Carbon Neutral,6.3,4.4,10.56,41,45.8,17.53,Medium,https://th.bing.com/th/id/OIP.UzzdKCGGLBJ23urpdCwUewHaHa?w=183&h=183&c=7&r=0&o=5&dpr=1.3&pid=1.7
P061,Solar-Powered Charger (P061),Electronics,212.82,Recycled Plastic & Solar Panels,Energy Star,7.3,4.3,23.86,22,18.8,19.71,Medium,https://th.bing.com/th/id/OIP.M3g523Zg4fEGwkCszqngFgHaHa?w=195&h=195&c=7&r=0&o=5&dpr=1.3&pid=1.7
P062,Bamboo Hairbrush (P062),Personal Care,18.33,Bamboo & Natural Rubber,USDA Organic,8.4,4.1,1,98,56.2,1.33,High,https://th.bing.com/th/id/OIP.ICZ2asQccqTJQEfqWSdsRQHaFj?w=251&h=189&c=7&r=0&o=5&dpr=1.3&pid=1.7
P063,Organic Soap Bar (P063),Personal Care,5.54,Shea Butter & Essential Oils,USDA Organic,9.5,4.4,2.31,90,83.7,1.77,High,https://th.bing.com/th/id/OIP.bbnHeUgrsJ34TjwY1qme5wHaHa?w=171&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P064,Solar-Powered Charger (P064),Electronics,195.76,Recycled Plastic & Solar Panels,Carbon Neutral,6.5,3.6,27.5,28,34.2,9.23,Low,https://th.bing.com/th/id/OIP.Aa9BoYAczx--FX6NaM3O4QHaHa?w=209&h=209&c=7&r=0&o=5&dpr=1.3&pid=1.7
P065,Organic Plushie (P065),Toys,30.35,Organic Cotton & Natural Dyes,EcoLabel,9,3.7,2.12,84,33.8,2.28,High,https://th.bing.com/th/id/OIP.NP7kJTBIFab7dPBzNGZKZwHaE8?w=302&h=201&c=7&r=0&o=5&dpr=1.3&pid=1.7
P066,Seedling Tray (P066),Gardening,48.74,Biodegradable Plastic,FSC,8.9,4.3,3.1,90,34.1,1.27,High,https://th.bing.com/th/id/OIP.olNbXlXee0oSKGIqghU3-QHaHa?w=184&h=184&c=7&r=0&o=5&dpr=1.3&pid=1.7
P067,Organic Plushie (P067),Toys,37.98,Organic Cotton & Natural Dyes,FSC,9.2,4.4,4.93,83,32.9,1.96,High,https://th.bing.com/th/id/OIP.o0dGlbx3Q2FY0LcMO2hnZQHaE8?w=264&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P068,Plant-Based Glue Stick (P068),Office Supplies,21.6,Plant-Based Adhesive,EcoLabel,9.2,4.5,1.69,89,12.9,1.27,High,https://th.bing.com/th/id/OIP.P3n_LEBV25V6QD20xm7U5AHaHa?w=179&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P069,Bamboo Sunglasses (P069),Travel,136.8,Bamboo & Recycled Glass,Fair Trade,8.5,4.3,8.58,60,31.8,5.35,High,https://th.bing.com/th/id/OIP.5hmGdQI3Sfdexbxrq6j2kgHaFQ?w=207&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P070,Compost Bin (P070),Gardening,35.01,Recycled Plastic,EcoLabel,9.3,4.3,3.77,96,50.7,0.5,High,https://th.bing.com/th/id/OIP.i0nYEL6c2TJzCUlyC9yzEwHaF0?w=253&h=199&c=7&r=0&o=5&dpr=1.3&pid=1.7
P071,Wooden Racing Car (P071),Toys,15.25,Solid Wood,EcoLabel,9,4,5.17,93,40,1.98,High,https://th.bing.com/th/id/OIP.yxo3YNC42JYhD6EWWrvJHQHaFW?w=244&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P072,Organic Bedsheets (P072),Clothing,54.5,Linen,EcoLabel,9.6,3.5,2.72,95,174.1,1.19,Medium,https://th.bing.com/th/id/OIP.IgqMzrq3Ib0rcHtNNAv12wHaE8?w=279&h=186&c=7&r=0&o=5&dpr=1.3&pid=1.7
P073,Bamboo Pen Set (P073),Office Supplies,25.13,Bamboo & Recycled Metal,FSC,8.5,3.5,1.22,85,23.3,2.45,Medium,https://th.bing.com/th/id/OIP.kbK8W1IEM1SqF5N2a9qiCQHaF4?w=257&h=204&c=7&r=0&o=5&dpr=1.3&pid=1.7
P074,Organic Fertilizer (P074),Gardening,28.64,Plant-Based Fertilizer,FSC,8,3.9,2.5,96,43.4,1.85,High,https://th.bing.com/th/id/OIP.6pd6abamEX7XkUy9bYErxAHaHa?w=130&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P075,Organic Soap Bar (P075),Personal Care,28.73,Shea Butter & Essential Oils,USDA Organic,9.9,4.3,3.18,91,91.5,1.02,High,https://th.bing.com/th/id/OIP.AHNko0Avs3y6X09fGZcbsQHaGE?w=253&h=207&c=7&r=0&o=5&dpr=1.3&pid=1.7
P076,Biodegradable Toothbrush (P076),Personal Care,7.31,Bamboo & Plant-Based Bristles,USDA Organic,9,4,1.71,99,33.3,1.67,High,https://th.bing.com/th/id/OIP.oaKApAyCO7tOM6YBIAG-QQHaFE?w=280&h=190&c=7&r=0&o=5&dpr=1.3&pid=1.7
P077,Bamboo Hairbrush (P077),Personal Care,15.71,Bamboo & Natural Rubber,USDA Organic,8.1,3.7,3.82,95,64.3,1.48,High,https://th.bing.com/th/id/OIP.Z98KQ7PveFiqrTSR3Qt7bwHaHa?w=216&h=216&c=7&r=0&o=5&dpr=1.3&pid=1.7
P078,Cotton Saree (P078),Clothing,79.81,Organic Cotton,GOTS,8.7,4.7,2.89,94,71.8,2.6,High,https://th.bing.com/th/id/OIP.f9p6kpkNUY-jAdjGXisYbQHaLH?w=204&h=306&c=7&r=0&o=5&dpr=1.3&pid=1.7
P079,Bamboo Hairbrush (P079),Personal Care,26.48,Bamboo & Natural Rubber,Fair Trade,9.1,5,2.72,90,42.4,1.88,High,https://th.bing.com/th/id/OIP.xhGDa_Tu8W_O2GCmnpE3PwHaHa?w=202&h=201&c=7&r=0&o=5&dpr=1.3&pid=1.7
P080,Reusable Mop (P080),Home Care,49.82,Recycled Plastic & Cotton,Green Seal,8.3,5,3.68,92,124.6,4.2,Medium,https://th.bing.com/th/id/OIP.Gxd8zofEmbUA5SEaznIdpgHaHa?w=209&h=209&c=7&r=0&o=5&dpr=1.3&pid=1.7
P081,Stainless Steel Lunchbox (P081),Kitchen,44.09,Stainless Steel,EcoLabel,8.6,4.4,2.88,68,78.2,3.04,High,https://th.bing.com/th/id/OIP.LBDgrZrpOTh_ncwdhUGATgHaHa?w=214&h=202&c=7&r=0&o=5&dpr=1.3&pid=1.7
P082,Wooden Racing Car (P082),Toys,10.75,Solid Wood,EcoLabel,8.3,4.3,3.07,94,29.3,1.19,High,https://th.bing.com/th/id/OIP.Har5thiUOvDLrPM76UaB-QHaFj?w=231&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P083,Bamboo Cutting Board (P083),Kitchen,70.07,Bamboo,USDA Organic,8.1,4.3,5.84,87,53.4,1.82,High,https://th.bing.com/th/id/OIP.nNhPMAETckd66NY5zxjdzwHaFq?w=251&h=192&c=7&r=0&o=5&dpr=1.3&pid=1.7
P084,Eco-Friendly Detergent (P084),Home Care,33.04,Plant-Based Ingredients,EcoLabel,7.7,3.7,4.56,89,59,5.73,Medium,https://th.bing.com/th/id/OIP.9FgjeouLYQJDjI1jh9tYxwHaEK?w=324&h=182&c=7&r=0&o=5&dpr=1.3&pid=1.7
P085,Plant-Based Glue Stick (P085),Office Supplies,13.05,Plant-Based Adhesive,EcoLabel,8.8,4.6,4.87,97,36.5,2.25,Medium,https://th.bing.com/th/id/OIP.kS8lpYBjCOJlzC9PwSbO4gHaHa?w=179&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P086,Bamboo Building Blocks (P086),Toys,12.81,Bamboo,EcoLabel,9.2,3.6,5.97,92,66.3,1.38,High,https://th.bing.com/th/id/OIP.s_FClsVnh27AMfTb00NaAQAAAA?w=168&h=176&c=7&r=0&o=5&dpr=1.3&pid=1.7
P087,Wooden Racing Car (P087),Toys,41.61,Solid Wood,EcoLabel,8.7,3.5,4.64,85,34.9,1.9,High,https://th.bing.com/th/id/OIP.y9qN7xnlxDUcr5joQ8dbswHaD5?w=310&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P088,Cotton Saree (P088),Clothing,72.02,Organic Cotton,EcoLabel,9.9,4.9,3.15,93,179.2,2.77,Medium,https://th.bing.com/th/id/OIP.tYWgqcau0A7hSlOVfLXBKgHaJ4?w=208&h=278&c=7&r=0&o=5&dpr=1.3&pid=1.7
P089,Bamboo Cleaning Brush (P089),Home Care,15.43,Bamboo & Sisal Bristles,Green Seal,9.5,4.9,6.96,94,54.1,4.5,Medium,https://th.bing.com/th/id/OIP.YkVHpusH4zvvRKtS_gwSUwHaHa?w=183&h=183&c=7&r=0&o=5&dpr=1.3&pid=1.7
P090,Biodegradable Toothbrush (P090),Personal Care,27.86,Bamboo & Plant-Based Bristles,Fair Trade,9.7,3.6,3.59,92,57.2,1.41,High,https://th.bing.com/th/id/OIP.8SfJRKOumqWyi63XnvFRpAHaHa?w=199&h=199&c=7&r=0&o=5&dpr=1.3&pid=1.7
P091,Reusable Mop (P091),Home Care,51.57,Recycled Plastic & Cotton,EcoLabel,8.4,3.7,3.16,94,147.5,2.2,Medium,https://th.bing.com/th/id/OIP.q8aEdCrsSlvnO0MQ0L1U_gHaGw?w=211&h=192&c=7&r=0&o=5&dpr=1.3&pid=1.7
P092,Reusable Travel Bottles (P092),Travel,133.27,Silicone & Recycled Plastic,Fair Trade,8.1,4.3,9.2,87,38,4.82,Medium,https://th.bing.com/th/id/OIP.am-UOKUxmFi4rhizrS-t_wHaEK?w=312&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P093,Bamboo Cutting Board (P093),Kitchen,68.98,Bamboo,USDA Organic,9.5,4.7,4.22,82,74.4,2.06,High,https://th.bing.com/th/id/OIP.AI5IS4F2y91g5aIRc-n5PwHaHa?w=208&h=208&c=7&r=0&o=5&dpr=1.3&pid=1.7
P094,Bamboo Cutting Board (P094),Kitchen,62.1,Bamboo,EcoLabel,9.4,3.8,4.75,81,51.7,1.96,High,https://th.bing.com/th/id/OIP.hoy0kQfAXEB7eIuefyRKuwHaHa?w=208&h=208&c=7&r=0&o=5&dpr=1.3&pid=1.7
